position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
123,Melodica,Akajani,Melodica,6:11,371,tDsxoESSnHI,INDIFFERENT,False
124,The Beautiful Garden,"Raja Ram, Tristan",Nano Sonic Sound System 2014,6:50,410,Q_aNjrkycLM,INDIFFERENT,False
125,Yaatra,DAMRU,Yaatra,4:45,285,8FN65laOp-4,INDIFFERENT,False
126,Formation,DEKEL & Freedom Fighters,Ancient Future,9:28,568,pu7JtoIOryA,INDIFFERENT,False
127,I Am,Liquid Soul,,8:02,482,3aJdgbJvn-o,INDIFFERENT,False
128,Victor Ruiz - The Ritual (Phaxe & Emok Remix),Phaxe,,6:40,400,_l0SmGnmh2w,INDIFFERENT,False
129,The Power of Now (Shayman Remix),Captain Hook,The Power of Now (Shayman Remix),8:11,491,geb0Da6d5rE,INDIFFERENT,False
130,Solitude,"Basscannon, Querox",Solitude,6:04,364,sb1OF5EKDBM,INDIFFERENT,False
131,Strange Planet,"Astrix, Shpongle",Codex VI,8:56,536,Lt2SceJdeOQ,INDIFFERENT,False
132,Dawn 'till Dusk,Freedom Fighters & Ryanosaurus,Era,9:00,540,shIDKO1aFdw,INDIFFERENT,False
133,Kupidox - Let the music play,Kupidox,,4:45,285,h3bTkW6VFho,INDIFFERENT,False
134,Liquid Splash,Perception,Liquid Splash,8:21,501,K7YTWsO356s,INDIFFERENT,False
135,E-Mantra - Shamanita,E-Mantra,,5:55,355,uqwlT18UO_s,INDIFFERENT,False
136,Balango Dango,Macedo (BR) & Inê Goa,Balango Dango (Inê Goa Remix),6:57,417,lNQ8mwqNkJE,INDIFFERENT,False
137,Octopus (3 Of Life & Domestic Remix),Art Of Trance,Octopus (3 Of Life & Domestic Remix),7:40,460,QFqUxzxxFyY,INDIFFERENT,False
138,Psychedelic Experience,DJ Gael Nataf,Psychedelic Experience,6:38,398,PdHepaugncI,INDIFFERENT,False
139,Life Changer,"Rexalted, X-Noize",Life Changer,6:45,405,Y9RXxVrhRSk,INDIFFERENT,False
140,Psychic Gibbon,Younger Brother,The Last Days Of Gravity,7:31,451,td-W-olYskE,INDIFFERENT,False
141,Waterfall,StereOMantra,Wings,7:10,430,y4hMX9XF2WA,INDIFFERENT,False
142,I Think U Know,Fobi,Organic Sources,7:59,479,sHSw_bCkwp0,INDIFFERENT,False
143,Sky High,Mad Tribe & Alpha Portal,Sky High,7:58,478,HKbXxXTULEU,INDIFFERENT,False
