position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
359,Ween - Kim Smoltz,destr100,,4:46,286,K65dRRa3GoM,INDIFFERENT,False
360,Ship in the Sky,Woody Guthrie,"Hard Travelin': The Asch Recordings, Vol. 3",2:35,155,QHP5Tui0l4Q,INDIFFERENT,False
361,Do Lord Remember Me,Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 1",3:07,187,suoadq0TqPA,INDIFFERENT,False
362,Donner Party Favors,The Brudi Brothers,Dark and Stormy,4:02,242,nc685YGb0xY,INDIFFERENT,False
363,I'm Holding You,Ween,12 Golden Country Greats,4:03,243,YzTbyJaFmIw,LIKE,False
364,Dust Cain't Kill Me,Woody Guthrie,Dust Bowl Ballads,2:54,174,Fit9znmZHDg,INDIFFERENT,False
365,I Shall Not Be Moved (Live),Mississippi John Hurt,The Best Of,3:30,210,vdF63_M-Hjw,INDIFFERENT,False
366,Buenas Tardes Amigo,Ween,Chocolate and Cheese,7:07,427,ebQ4EgRO2P4,INDIFFERENT,False
367,Do-Re-Mi,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:33,153,ALsdg_ULimA,INDIFFERENT,False
368,"Trouble, I've Had It All My Days",Mississippi John Hurt,Last Sessions,3:05,185,lNvVwMgJCw8,INDIFFERENT,False
369,You Were the Fool,Ween,12 Golden Country Greats,4:27,267,plKeLTrR8Cs,INDIFFERENT,False
370,Philadelphia Lawyer,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:32,152,NHkW67NWX58,INDIFFERENT,False
371,Mississippi John Hurt - Pay Day,MyMoppet52,,2:58,178,K-p214l5QLI,INDIFFERENT,False
372,It's Gonna Be (Alright),Ween,The Mollusk,3:18,198,mYAdOvq9tKc,LIKE,False
373,Bad Lee Brown (Cocaine Blues),Woody Guthrie,"Buffalo Skinners: The Asch Recordings, Vol. 4",2:16,136,6VUNDV_rrFg,INDIFFERENT,False
374,Blind Man Sit in the Way and Cried,Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 2",2:30,150,Wad0pgSc0Pc,INDIFFERENT,False
375,Chocolate Town,Ween,Quebec,3:17,197,M0v6t0t3vzI,INDIFFERENT,False
376,Red River Valley,Woody Guthrie,"Buffalo Skinners: The Asch Recordings, Vol. 4",2:55,175,vWkU4GBAILc,INDIFFERENT,False
377,Beulah Land,Mississippi John Hurt,Today!,3:45,225,2mzo2M5fDfI,INDIFFERENT,False
378,Transitions,Ween,"Shinola, Vol. 1",3:46,226,EaAoHx-xx_U,INDIFFERENT,False
379,Pretty Boy Floyd,Woody Guthrie,"Buffalo Skinners: The Asch Recordings, Vol. 4",3:02,182,I4zHMjItFwA,INDIFFERENT,False
380,Since I Laid My Burden Down,Mississippi John Hurt,Christian Hymns - Delta Blues,3:34,214,lMV7ZKSqG7o,INDIFFERENT,False
381,Object,Ween,La Cucaracha,2:37,157,5PwNdeDKWMw,INDIFFERENT,False
382,Grand Coulee Dam,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:14,134,1lu8UeLK9gk,INDIFFERENT,False
383,Waiting for a Train,Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 1",2:40,160,JrEgJ45g94w,INDIFFERENT,False
384,Pollo Asado (Live),Ween,All Request Live,3:15,195,_uiH7_JqxEI,INDIFFERENT,False
385,What Did the Deep Sea Say?,Woody Guthrie and Cisco Houston,Woody Guthrie Sings Folk Songs,2:39,159,Vc4htuQQhWc,INDIFFERENT,False
386,Avalon Blues,Mississippi John Hurt,1928 Sessions,3:04,184,sJRxkYNLEjM,INDIFFERENT,False
387,She's Your Baby,Ween,White Pepper,3:01,181,SfwN4x--bew,INDIFFERENT,False
388,Talking Fishing Blues,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",3:07,187,RSGINVlicDk,INDIFFERENT,False
389,Salty Dog Blues (Live),Mississippi John Hurt,Rediscovered,3:04,184,95Zwl8h5b0k,INDIFFERENT,False
390,Your Party,Ween,La Cucaracha,4:09,249,L-qenO-8CKk,INDIFFERENT,False
391,1913 Massacre,Woody Guthrie,"Hard Travelin': The Asch Recordings, Vol. 3",3:39,219,cW9H4M6eQqc,INDIFFERENT,False
392,Make Me A Pallet On Your Floor,Mississippi John Hurt,Today!,4:36,276,HHE_E14vpgE,INDIFFERENT,False
393,Someday,Ween,"Shinola, Vol. 1",3:46,226,UruINGg6oEY,INDIFFERENT,False
394,Car Song,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",1:53,113,VMw9_ZMGvAQ,INDIFFERENT,False
395,Let The Mermaids Flirt With Me,Mississippi John Hurt,Last Sessions,3:22,202,Or6iqMQKW0o,INDIFFERENT,False
396,The Argus,Ween,Quebec,4:54,294,6JXw5MuwapA,INDIFFERENT,False
397,Jarama Valley,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:56,176,c6NAM8sAlSo,INDIFFERENT,False
398,The Angels Laid Him Away,Mississippi John Hurt,Candy Man,5:11,311,RI7OJT95qyM,INDIFFERENT,False
399,Back to Basom,Ween,White Pepper,3:47,227,Cfl0EZNSQDM,INDIFFERENT,False
400,My Daddy (Flies A Ship In The Sky),Woody Guthrie,My Dusty Road,2:37,157,sfKvZMBSCbI,INDIFFERENT,False
