artist,subscribers,browseId,link
Alemayehu Eshete,9,MPLAUC5rbY0RdOLdr2my36OX9gvw,https://music.youtube.com/browse/MPLAUC5rbY0RdOLdr2my36OX9gvw
Gétatchèw Kassa,3,MPLAUCuXQK42TTPE__4skn76DxHw,https://music.youtube.com/browse/MPLAUCuXQK42TTPE__4skn76DxHw
LCD Soundsystem,20,MPLAUCdsmJG8eFcr6Lxgau8E7afg,https://music.youtube.com/browse/MPLAUCdsmJG8eFcr6Lxgau8E7afg
Soul Sugar,16,MPLAUCsj14bgz2yGDTe7Uz3z0eIA,https://music.youtube.com/browse/MPLAUCsj14bgz2yGDTe7Uz3z0eIA
Benny Yurco,9,MPLAUCk3KF8hFukHkqMgRdq-dVlA,https://music.youtube.com/browse/MPLAUCk3KF8hFukHkqMgRdq-dVlA
El Zeb,1,MPLAUC6xz8H_1xKwlV5ejSQIzHUw,https://music.youtube.com/browse/MPLAUC6xz8H_1xKwlV5ejSQIzHUw
Kokoroko,4,MPLAUCAOTJrZUiDloUAK9-Dt2W2A,https://music.youtube.com/browse/MPLAUCAOTJrZUiDloUAK9-Dt2W2A
Skream,3,MPLAUCo3ohMrhOjpE9xLId-TlXxQ,https://music.youtube.com/browse/MPLAUCo3ohMrhOjpE9xLId-TlXxQ
Jack Sparrow,1,MPLAUC9L3mxTwbqmLUBym59uXvXw,https://music.youtube.com/browse/MPLAUC9L3mxTwbqmLUBym59uXvXw
Coki,1,MPLAUCoJ3MGkzI-UO57jw5x0JU3A,https://music.youtube.com/browse/MPLAUCoJ3MGkzI-UO57jw5x0JU3A
Loefah,1,MPLAUCyQxc8H-P-HlU7pup6KNS8w,https://music.youtube.com/browse/MPLAUCyQxc8H-P-HlU7pup6KNS8w
Ramadanman,1,MPLAUC2xghP3rgndD1yg1HhP-PEw,https://music.youtube.com/browse/MPLAUC2xghP3rgndD1yg1HhP-PEw
Pinch,2,MPLAUCTp7QIi9l6AfLqkqaYcYdkg,https://music.youtube.com/browse/MPLAUCTp7QIi9l6AfLqkqaYcYdkg
Kode9,1,MPLAUCy3XdlkvHCvpnO4K5sB1NVw,https://music.youtube.com/browse/MPLAUCy3XdlkvHCvpnO4K5sB1NVw
Digital Mystikz,2,MPLAUC6yp7z-oHrs_-Jl7qLgLgeg,https://music.youtube.com/browse/MPLAUC6yp7z-oHrs_-Jl7qLgLgeg
Sub Version,1,MPLAUC3ZNbSMbS-e_-Y6JUVjgdOg,https://music.youtube.com/browse/MPLAUC3ZNbSMbS-e_-Y6JUVjgdOg
Cotti,1,MPLAUCxLgiawOmmoQHyj6BcEM21Q,https://music.youtube.com/browse/MPLAUCxLgiawOmmoQHyj6BcEM21Q
Chance McCoy and The Appalachian String Band,19,MPLAUCM2L5fxtUNMUdsGr3IudlTg,https://music.youtube.com/browse/MPLAUCM2L5fxtUNMUdsGr3IudlTg
Tycho,19,MPLAUC6M6DgivBo3VHTYDa9BblqQ,https://music.youtube.com/browse/MPLAUC6M6DgivBo3VHTYDa9BblqQ
Pete Seeger,3,MPLAUC6J7zes7i6Fr2GmwkadEq-w,https://music.youtube.com/browse/MPLAUC6J7zes7i6Fr2GmwkadEq-w
The Sesame Street Kids,1,MPLAUCQG1pGpJn_lw1FLpgSAg7zA,https://music.youtube.com/browse/MPLAUCQG1pGpJn_lw1FLpgSAg7zA
Lotus,10,MPLAUCnmrhKMcl7IIQJDL0HjpiXQ,https://music.youtube.com/browse/MPLAUCnmrhKMcl7IIQJDL0HjpiXQ
Doja Cat,1,MPLAUCwgX_dLqGYna_7Fm8ecf4Ng,https://music.youtube.com/browse/MPLAUCwgX_dLqGYna_7Fm8ecf4Ng
Pearl Django,1,MPLAUC3gWT_27UX3zeHQLu60kQnQ,https://music.youtube.com/browse/MPLAUC3gWT_27UX3zeHQLu60kQnQ
Duo Gadjo And Their Hot Friends,10,MPLAUC3DjKA2QRJuE-pF7wH7souw,https://music.youtube.com/browse/MPLAUC3DjKA2QRJuE-pF7wH7souw
Ben Harper,1,MPLAUCQDfDVFPX4TxzD8pJXX5OpA,https://music.youtube.com/browse/MPLAUCQDfDVFPX4TxzD8pJXX5OpA
Cymande,11,MPLAUCIWFx0nG2yp5URl3z0IofXQ,https://music.youtube.com/browse/MPLAUCIWFx0nG2yp5URl3z0IofXQ
Puss N Boots,14,MPLAUCOpd8pjFiRy56quwIzE0wGA,https://music.youtube.com/browse/MPLAUCOpd8pjFiRy56quwIzE0wGA
Red Allen,13,MPLAUCWVloz0fADc1G0AGIrNF95Q,https://music.youtube.com/browse/MPLAUCWVloz0fADc1G0AGIrNF95Q
Y.O.M,13,MPLAUC4dXNl--Yp1EI5eUMUMShsA,https://music.youtube.com/browse/MPLAUC4dXNl--Yp1EI5eUMUMShsA
Blair Crimmins and The Hookers,11,MPLAUCni0K5-wQCP9UJI9og2LkxQ,https://music.youtube.com/browse/MPLAUCni0K5-wQCP9UJI9og2LkxQ
Girma Bèyènè,4,MPLAUCmvbZveDloH_4l77RbPhPVw,https://music.youtube.com/browse/MPLAUCmvbZveDloH_4l77RbPhPVw
Bahta Gèbrè-Heywèt,2,MPLAUCOwEYgxrJqZHe7G1IzGAi8w,https://music.youtube.com/browse/MPLAUCOwEYgxrJqZHe7G1IzGAi8w
Lemma Demissew,3,MPLAUCqDoyLnC7B6y6Yrivbi7dzw,https://music.youtube.com/browse/MPLAUCqDoyLnC7B6y6Yrivbi7dzw
Samuel Bèlay,2,MPLAUCREUk-OqvPb7VhPMyKe7Z8w,https://music.youtube.com/browse/MPLAUCREUk-OqvPb7VhPMyKe7Z8w
Ayalèw Mesfin,1,MPLAUCxh8X_O-mNne2Af_2z_URZA,https://music.youtube.com/browse/MPLAUCxh8X_O-mNne2Af_2z_URZA
Curly King,5,MPLAUCBj33-ipUyKM6UFPHeRjxMw,https://music.youtube.com/browse/MPLAUCBj33-ipUyKM6UFPHeRjxMw
Shotgun Jazz Band,17,MPLAUCAgIy93cGMCFX_HtQx5uHEA,https://music.youtube.com/browse/MPLAUCAgIy93cGMCFX_HtQx5uHEA
Clem Raymond,14,MPLAUC1-cr1PogYky10oaPdUz9Zg,https://music.youtube.com/browse/MPLAUC1-cr1PogYky10oaPdUz9Zg
