position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
71,Infinity (Anna Remix),"Captain Hook, Ritmo",Infinity (Anna Remix),6:42,402,AD655XLjXXQ,INDIFFERENT,False
72,Vimana (Acid Punks remix),Etnica,Vimana (Acid Punks Remix),8:53,533,_MEHydReZes,INDIFFERENT,False
73,Planet X (Out of Orbit remix),Alien Art,Planet X Remixed,9:00,540,lEJp-T5wnuw,INDIFFERENT,False
74,Shamanic Tea (Ajja Remix),Tripswitch,Oddular,6:38,398,wOsgj4rG0d4,INDIFFERENT,False
75,Sky High,Mad Tribe & Alpha Portal,Sky High,7:58,478,HKbXxXTULEU,INDIFFERENT,False
76,311 (Modus Remix),Altruism,NanoMega EP ONE,7:28,448,62RavHiEvyU,INDIFFERENT,False
77,Deep Space,"Monococ, mrmsoun6",Deep Space,5:59,359,j6CnrMto7O8,INDIFFERENT,False
78,Portal,Middle Mode,Portal,7:34,454,FjH4OAqHtbY,INDIFFERENT,False
79,Weirder,Burn in Noise,Trance for Nations 14 (Compiled by Astrix),7:51,471,km3lJVvMVpg,INDIFFERENT,False
80,Alien Tribes (PsyMagic Remix),Ara (DE),Alien Tribes,9:14,554,1mn-IhyFwLs,INDIFFERENT,False
81,The Drunken Orchestra,"Arjuna, Atriohm",Primal Contact,7:58,478,mWQEJD_kov4,INDIFFERENT,False
82,Be My Lover (2023 Mix - Extended Mix) (feat. La Bouche),"David Guetta, Hypaton",Be My Lover (2023 Mix - Extended Mix),3:59,239,cANwZtj4zIQ,INDIFFERENT,False
83,Acid Zoo,"Kabayun, Ninesense, Virtual Light",Noctis Labyrinthus,8:38,518,XoK1f1wFcI0,INDIFFERENT,False
84,Owl Coaster,Yahel,Owl Coaster,6:34,394,DDco2GSktho,INDIFFERENT,False
85,Petran - Symbiosis,syggeryk,,7:36,456,8KC7kKABLnw,INDIFFERENT,False
86,Something With Stuff,New Born,Nothing But a Title,7:34,454,YUZV_d0Ku2s,INDIFFERENT,False
87,All We Have Is Now,Nevo,Between Heaven and Hell,9:50,590,Dvxtn4LvGFw,INDIFFERENT,False
