videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
MQldSE5gGkw,Chaise Longue,Wet Leg,Wet Leg,3:17,197,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,30,LIKE,False
3a9YrqSdblc,San Francisco Bay Blues,Ramblin' Jack Elliott,The Ballad Of Ramblin' Jack,2:06,126,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,8,LIKE,True
nUyXFnAki_4,One of These Mornings (Early Gospel Recording),The Oak Ridge Boys,Early Gospel Recordings,2:09,129,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,64,LIKE,False
zvBKeB44Qkw,Chimes of Freedom,The Byrds,Mr. Tambourine Man,3:52,232,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,39,INDIFFERENT,False
T82VtnfKGd8,Money for Nothing,Dire Straits,Brothers in Arms,8:27,507,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,40,INDIFFERENT,False
Zu5chXCp1Ag,(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay,2:47,167,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,37,INDIFFERENT,False
YhRybYyrNaI,Welcome,"7RAYS, Jon Hopkins",Music For Psychedelic Therapy,6:23,383,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,48,INDIFFERENT,False
d1xHusoNg3s,Howard Hughes' Blues,Wood & Wire,"The Woodshed Sessions, Vol. 2",3:26,206,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,60,LIKE,False
BsX2BUXyDGg,White Clouds,Adrien Kepler,White Clouds,8:10,490,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,38,INDIFFERENT,False
P0Nryn0YZ-A,D.A.N.C.E.,Justice,Cross,4:03,243,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,54,INDIFFERENT,False
6K4jl6PMSzw,Mist,SVLBRD,Inland,4:40,280,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,18,INDIFFERENT,False
ONASXXnp3Dk,Séquences (Parcels Remix),L'Impératrice,Séquences (Remixes),4:26,266,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,9,LIKE,False
KU3Soe1LXsQ,When They Ring The Golden Bells / Ophelia Reprise,Natalie Merchant,Ophelia,9:34,574,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,55,LIKE,False
wg7XUyIHFUU,Planet Love,Landhouse & Raddantze,Love and Nature Adventure,8:50,530,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,33,LIKE,False
SqTSgCdDaaM,Forgot About Dre (feat. Eminem),Dr. Dre,2001,3:43,223,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,56,INDIFFERENT,False
1e_Jc2mo1xI,Ginseng Sullivan,The Tony Rice Unit,Manzanita,3:11,191,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,89,LIKE,False
YGMAQw5mcqI,Bells Of Every Chapel (feat. Billy Strings),Sierra Ferrell,Bells Of Every Chapel,4:16,256,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,6,LIKE,False
dTc_IQiUXtI,"Conspiracies, Cults & UFOs",John R. Miller,"Conspiracies, Cults & UFOs",2:53,173,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,78,LIKE,False
POvewep_wPQ,Stay Forever,Ween,White Pepper,3:33,213,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,87,INDIFFERENT,False
u4S0OzdpQfE,Howard Hughes' Blues,John Hartford,Morning Bugle,2:52,172,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,88,INDIFFERENT,False
ADSYbRZM38k,Do Right Woman,Chuck Darwin & the Knuckle Draggers,Three Car Pileup,3:29,209,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,84,LIKE,False
gnqIsB2Y8SQ,Cheyenne,Noam Pikelny,Noam Pikelny Plays Kenny Baker Plays Bill Monroe,3:38,218,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,79,LIKE,False
zBCKNhgD2A8,Motoc,loscil,Plume,6:30,390,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,81,INDIFFERENT,False
Cvq6lHDatNs,Islands In the Stream,"Dolly Parton, Kenny Rogers",Greatest Hits,4:12,252,2026-09-12T10:40:53Z,2026-09-17T08:41:05Z,18,84,LIKE,True
H84Ast4cZMo,Boulderdash (feat. Tony Trischka & Noam Pikelny),Béla Fleck,My Bluegrass Heart,7:02,422,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,76,LIKE,False
YkLLcIKhJ64,Dancing Queen,ABBA,Arrival,3:51,231,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,85,INDIFFERENT,False
tkOk_LCUWxU,Lockdown,"Shpongle, Simon Posford",Flux & Contemplation - Portrait of an Artist in Isolation,8:30,510,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,47,LIKE,False
IRlUwaooWUE,Beaumont Rag,The Tony Rice Unit,Unit Of Measure,3:38,218,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,1,INDIFFERENT,False
7p2-TKipaME,Chittlin’ Cookin’ Time In Cheatham County,Sierra Ferrell,Trail Of Flowers,3:02,182,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,92,LIKE,False
z7fhb-Y0jEc,In Tall Buildings,John Hartford,Nobody Knows What You Do,3:27,207,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,12,INDIFFERENT,False
_SNVo6wTHlM,Jim Thompson's Horse,Noam Pikelny,Beat the Devil and Carry a Rail,4:02,242,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,25,INDIFFERENT,False
gnDPFb6eebM,Cotom,Loscil,Stases,7:25,445,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,95,INDIFFERENT,False
CLSkIjLGEM0,"Vertigo (feat. Sam Bush, Bryan Sutton, Edgar Meyer & Stuart Duncan)",Béla Fleck,My Bluegrass Heart,5:19,319,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,3,LIKE,False
BdWeRIYBZq4,Bound to Ride,"John Hartford, Tony Rice, Vassar Clements",Hartford Rice and Clements,2:00,120,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,75,LIKE,False
-obK1SO5EbE,Folk Bloodbath,Noam Pikelny,Universal Favorite,6:05,365,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,94,INDIFFERENT,False
ZOj7KzyqeVU,Lux,Loscil,Clara,5:41,341,2026-09-12T10:40:53Z,2026-09-23T08:36:35Z,23,26,INDIFFERENT,False
